Node_1_orthology_group_id,Node_2_orthology_group_id,Layer,Salmonella_dublin_CT_02021853,Salmonella_enteritidis_PT4_P125109,Salmonella_paratyphi_A_ATCC_9150_SARB42,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Salmonella_heidelberg_SL476,Salmonella_paratyphi_C_RKS4594,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Salmonella_newport_SL254,Salmonella_typhi,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Salmonella_typhimurium_D23580,Salmonella_typhimurium_SL1344,Salmonella_typhimurium_14028s_SGSC_2262,Salmonella_agona_SL483,Salmonella_typhimurium_4_74,Salmonella_choleraesuis_SC-B67,Salmonella_schwarzengrund_CVM19633,Salmonella_gallinarum_287_91_NCTC_13346-B67,Salmonella_paratyphi_A_AKU_12601-B67
OMA03146,OMA03146,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA03387,OMA03387,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,IntAct_Interactome3d
OMA04910,OMA04910,Protein-protein interaction,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Interactome3d
OMA05352,OMA05352,Protein-protein interaction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Interactome3d
OMA05261,OMA05261,Protein-protein interaction,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Interactome3d
OMA00283,OMA04784,Protein-protein interaction,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,IntAct
OMA04784,OMA04784,Protein-protein interaction,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,Interactome3d
OMA00052,OMA00052,Protein-protein interaction,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,IntAct_Interactome3d
OMA00453,OMA00052,Protein-protein interaction,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA02833,OMA00052,Protein-protein interaction,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA00052,OMA00117,Protein-protein interaction,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA00052,OMA00345,Protein-protein interaction,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA01429,OMA00239,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA00415,OMA01429,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA02060,OMA01429,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA01429,OMA01628,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA01429,OMA01718,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA01429,OMA02970,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA01429,OMA03656,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA01429,OMA03842,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA01429,OMA04193,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA01429,OMA04658,Protein-protein interaction,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,IntAct
OMA02224,OMA00207,Protein-protein interaction,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,IntAct
OMA03849,OMA05413,Protein-protein interaction,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA02844,OMA04929,Protein-protein interaction,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA04116,OMA05413,Protein-protein interaction,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA01951,OMA00334,Protein-protein interaction,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA03849,OMA01904,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA03849,OMA02916,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA00713,OMA03849,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA01541,OMA03849,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA01743,OMA03849,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA01862,OMA03849,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA02960,OMA03849,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA03072,OMA03849,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA05317,OMA03849,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA05372,OMA03849,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA05503,OMA03849,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA03849,OMA05970,Protein-protein interaction,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA01257,OMA00207,Protein-protein interaction,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Lit_Ecoli_IntAct
OMA04394,OMA01936,Protein-protein interaction,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA02673,OMA01988,Protein-protein interaction,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA00489,OMA03308,Protein-protein interaction,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA02396,OMA03308,Protein-protein interaction,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA03308,OMA03616,Protein-protein interaction,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA01743,OMA04116,Protein-protein interaction,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA04116,OMA01904,Protein-protein interaction,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA04116,OMA02916,Protein-protein interaction,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA00713,OMA04116,Protein-protein interaction,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA01541,OMA04116,Protein-protein interaction,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
OMA01862,OMA04116,Protein-protein interaction,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,Lit_Ecoli_IntAct
