Node_1_orthology_group_id,Node_2_orthology_group_id,Layer,Salmonella_dublin_CT_02021853,Salmonella_enteritidis_PT4_P125109,Salmonella_paratyphi_A_ATCC_9150_SARB42,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Salmonella_heidelberg_SL476,Salmonella_paratyphi_C_RKS4594,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Salmonella_newport_SL254,Salmonella_typhi,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Salmonella_typhimurium_D23580,Salmonella_typhimurium_SL1344,Salmonella_typhimurium_14028s_SGSC_2262,Salmonella_agona_SL483,Salmonella_typhimurium_4_74,Salmonella_choleraesuis_SC-B67,Salmonella_schwarzengrund_CVM19633,Salmonella_gallinarum_287_91_NCTC_13346-B67,Salmonella_paratyphi_A_AKU_12601-B67
OMA02430,OMA03952,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA00842,OMA03984,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03395,OMA04053,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA04483,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03830,OMA04483,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03395,OMA05023,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03453,OMA05443,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03395,OMA05532,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02510,OMA05666,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA05920,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03205,OMA06126,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02430,OMA06392,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04394,OMA06392,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA01319,OMA06433,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02001,OMA06433,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA06433,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04295,OMA06450,Regulatory,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02238,OMA01930,Regulatory,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA02984,Regulatory,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04467,OMA03757,Regulatory,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03508,OMA05062,Regulatory,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA01895,OMA06126,Regulatory,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03047,OMA00280,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03453,OMA00422,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05327,OMA00529,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA01895,OMA00712,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02238,OMA00798,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA01895,OMA01084,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03507,OMA01142,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03047,OMA01640,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA01895,OMA01778,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA00542,OMA01784,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02238,OMA01932,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03453,OMA02968,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03001,OMA03158,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02167,OMA03749,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA00542,OMA03761,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03453,OMA04807,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA02001,OMA05067,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA03197,OMA05067,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04412,OMA05067,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04566,OMA05067,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04660,OMA05067,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA05381,OMA05599,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
OMA04394,OMA05694,Regulatory,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Salm
