Node_1_orthology_group_id,Node_2_orthology_group_id,Layer,Salmonella_dublin_CT_02021853,Salmonella_enteritidis_PT4_P125109,Salmonella_paratyphi_A_ATCC_9150_SARB42,Salmonella_paratyphi_B_ATCC_BAA-1250_SPB7,Salmonella_heidelberg_SL476,Salmonella_paratyphi_C_RKS4594,Salmonella_bongori_ATCC_43975_DSM_13772_NCTC_12419,Salmonella_typhimurium_LT2_SGSC1412_ATCC_700720,Salmonella_newport_SL254,Salmonella_typhi,Salmonella_arizonae_ATCC_BAA-731_CDC346-86_RSK2980,Salmonella_typhimurium_D23580,Salmonella_typhimurium_SL1344,Salmonella_typhimurium_14028s_SGSC_2262,Salmonella_agona_SL483,Salmonella_typhimurium_4_74,Salmonella_choleraesuis_SC-B67,Salmonella_schwarzengrund_CVM19633,Salmonella_gallinarum_287_91_NCTC_13346-B67,Salmonella_paratyphi_A_AKU_12601-B67
OMA03578,OMA00165,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PMID:31455646
OMA00669,OMA00636,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PMID:31455646
OMA01650,OMA00792,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PMID:31455646
OMA01650,OMA01303,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PMID:31455646
OMA01650,OMA01729,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PMID:31455646
OMA01650,OMA01776,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PMID:31455646
OMA01650,OMA02076,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PMID:31455646
OMA01650,OMA02892,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PMID:31455646
OMA01650,OMA05716,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PMID:31455646
OMA02278,OMA01903,Metabolic,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,PMID:31455646
OMA01903,OMA01936,Metabolic,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,PMID:31455646
OMA01323,OMA00411,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,PMID:31455646
OMA01868,OMA01632,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,PMID:31455646
OMA02278,OMA01632,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,PMID:31455646
OMA00411,OMA01942,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,PMID:31455646
OMA01903,OMA01632,Metabolic,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,PMID:31455646
OMA01903,OMA03109,Metabolic,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,PMID:31455646
OMA01936,OMA01868,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,PMID:31455646
OMA02278,OMA01868,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,PMID:31455646
OMA01868,OMA01936,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,PMID:31455646
OMA02278,OMA01936,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,PMID:31455646
OMA01868,OMA03109,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,PMID:31455646
OMA01936,OMA03109,Metabolic,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,PMID:31455646
OMA00719,OMA01179,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,PMID:31455646
OMA00719,OMA02075,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,PMID:31455646
OMA00719,OMA04280,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,PMID:31455646
OMA01908,OMA00598,Metabolic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PMID:31455646
OMA01908,OMA01113,Metabolic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PMID:31455646
OMA01908,OMA03312,Metabolic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PMID:31455646
OMA00598,OMA01113,Metabolic,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,PMID:31455646
OMA03312,OMA01113,Metabolic,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,PMID:31455646
OMA03557,OMA00683,Metabolic,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,PMID:31455646
OMA03557,OMA01203,Metabolic,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,PMID:31455646
OMA03061,OMA03557,Metabolic,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,PMID:31455646
OMA00572,OMA04037,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,PMID:31455646
OMA00572,OMA02461,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,PMID:31455646
OMA05607,OMA00607,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA05607,OMA01123,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA05607,OMA01465,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA05607,OMA03656,Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA02333,OMA00128,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA00128,OMA03344,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA02333,OMA03344,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA03466,OMA03344,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA00128,OMA03427,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA02333,OMA03427,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA03466,OMA03427,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA00128,OMA03466,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA02333,OMA03466,Metabolic,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,PMID:31455646
OMA03578,OMA02579,Metabolic,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,PMID:31455646
OMA00165,OMA03578,Metabolic,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,PMID:31455646
OMA00719,OMA02072,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00719,OMA02089,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00504,OMA00719,Metabolic,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00719,OMA04167,Metabolic,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA02598,OMA00719,Metabolic,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA03374,OMA00719,Metabolic,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA03509,OMA00719,Metabolic,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00719,OMA01188,Metabolic,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00719,OMA01214,Metabolic,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00719,OMA01236,Metabolic,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00719,OMA01981,Metabolic,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00719,OMA04401,Metabolic,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA01025,OMA00978,Metabolic,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00719,OMA00504,Metabolic,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA00925,OMA00704,Metabolic,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA02040,OMA00704,Metabolic,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA02049,OMA00704,Metabolic,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA02998,OMA01025,Metabolic,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA01025,OMA01006,Metabolic,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,PMID:31455646
OMA01006,OMA00978,Metabolic,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA01129,OMA01072,Metabolic,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA01072,OMA01129,Metabolic,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA00165,OMA00163,Metabolic,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA00163,OMA00165,Metabolic,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA00215,OMA00612,Metabolic,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA03700,OMA02574,Metabolic,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA00163,OMA02579,Metabolic,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA02574,OMA03700,Metabolic,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA03108,OMA02306,Metabolic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA02306,OMA03108,Metabolic,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,PMID:31455646
OMA00659,OMA01095,Metabolic,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,PMID:31455646
OMA00061,OMA00059,Metabolic,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00059,OMA00061,Metabolic,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00059,OMA02370,Metabolic,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00059,OMA03405,Metabolic,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00221,OMA00171,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00211,OMA00221,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00217,OMA00221,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA02427,OMA00221,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00221,OMA02408,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00221,OMA02514,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00059,OMA00059,Metabolic,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA03531,OMA00059,Metabolic,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00258,OMA00449,Metabolic,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00258,OMA00497,Metabolic,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00258,OMA02400,Metabolic,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00258,OMA03678,Metabolic,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00258,OMA03948,Metabolic,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,PMID:31455646
OMA00504,OMA01179,Metabolic,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA00504,OMA02075,Metabolic,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA00504,OMA04280,Metabolic,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA04401,OMA01179,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA04280,OMA01236,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA01236,OMA02075,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA04401,OMA02075,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA01179,OMA02089,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA04280,OMA02089,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA00659,OMA01418,Metabolic,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA01418,OMA00659,Metabolic,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,PMID:31455646
OMA00914,OMA00882,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,PMID:31455646
OMA03722,OMA00882,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,PMID:31455646
OMA00882,OMA03652,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,PMID:31455646
OMA02514,OMA00171,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,PMID:31455646
OMA02514,OMA02408,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,PMID:31455646
OMA00211,OMA02514,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,PMID:31455646
OMA00217,OMA02514,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,PMID:31455646
OMA02427,OMA02514,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,PMID:31455646
OMA04095,OMA04163,Metabolic,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,PMID:31455646
OMA02525,OMA01520,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,PMID:31455646
OMA03560,OMA03581,Metabolic,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,PMID:31455646
OMA04163,OMA04095,Metabolic,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,PMID:31455646
OMA00962,OMA00810,Metabolic,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,PMID:31455646
OMA04037,OMA02461,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA00579,OMA04037,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA00919,OMA04037,Metabolic,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA04167,OMA01179,Metabolic,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA04167,OMA02075,Metabolic,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA01747,OMA00548,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA01621,OMA00810,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA04280,OMA01179,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA04280,OMA01188,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA00810,OMA01682,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA00710,OMA01690,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA01699,OMA01690,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
OMA01690,OMA01699,Metabolic,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,PMID:31455646
